BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,PwnCount
7,1,2019,0,0,0,0,0,0,772904991
25,2,2019,1,0,0,0,0,1,763117241
28,8,2017,1,0,0,1,0,1,711477622
16,10,2019,1,0,0,0,0,1,622161052
13,10,2016,0,0,0,0,0,0,593427119
1,8,2019,1,0,0,0,0,1,509458528
16,12,2016,0,0,0,0,0,0,457962538
1,1,2017,1,0,0,1,0,1,393430309
1,7,2008,1,0,0,0,0,2,359420698
29,6,2020,1,0,0,0,0,2,268765495
19,10,2015,0,0,0,0,0,3,234842089
22,4,2019,1,0,0,0,0,1,229037936
4,11,2020,0,0,0,0,0,0,226883414
1,1,2021,1,0,0,0,0,1,211524284
1,9,2019,1,0,0,0,0,4,172869660
16,10,2016,1,1,0,0,0,5,169746810
5,5,2012,1,0,0,0,0,0,164611595
1,12,2018,1,0,0,0,0,4,161749950
4,10,2013,1,0,0,0,0,0,152445165
1,2,2018,1,0,0,0,0,4,143606147
24,5,2019,1,0,0,0,0,4,137272116
1,6,2018,1,0,0,0,0,1,131577763
23,7,2018,1,0,0,0,0,1,125929660
8,4,2021,1,0,0,0,0,1,125698496
3,10,2020,1,0,0,0,0,0,113990759
1,6,2013,0,1,0,0,0,1,112005531
2,4,2018,0,0,0,0,0,5,110964206
18,7,2017,1,0,0,1,0,1,105059554
11,8,2013,1,0,0,0,0,4,100985047
1,1,2012,1,0,0,0,0,0,93338602
26,10,2017,1,0,0,0,0,4,91991358
1,12,2016,1,0,0,0,0,0,91890110
1,3,2014,1,0,0,0,0,0,91436280
20,10,2016,1,0,0,0,0,0,85176234
19,2,2018,0,0,0,0,0,0,80115532
1,1,2013,1,0,0,0,0,4,77449341
28,9,2020,1,0,0,0,0,4,77159696
17,4,2020,1,0,0,0,0,2,71443698
4,3,2020,1,0,0,0,0,1,68693853
1,7,2012,1,0,0,0,0,2,68648009
5,10,2018,1,0,0,0,0,1,66147869
28,2,2013,1,0,0,0,0,2,65469298
8,10,2016,1,0,0,0,0,1,58843488
1,1,2011,0,1,0,0,0,1,52578183
21,6,2020,0,0,0,0,0,1,51730831
22,9,2013,1,0,0,0,0,0,49467477
1,11,2012,1,0,0,0,0,4,49038354
23,5,2018,1,0,0,0,0,4,48881308
14,2,2020,1,0,0,0,0,1,48580249
14,11,2018,1,0,0,0,0,1,44320330
12,6,2018,1,0,0,1,1,0,43432346
11,5,2017,1,0,0,0,0,2,43423561
11,9,2018,0,0,0,0,0,0,41826763
7,12,2017,1,0,0,0,0,4,41817893
9,7,2018,1,0,0,0,0,4,40960499
10,3,2011,1,1,0,0,0,0,40767652
28,4,2018,1,0,0,0,0,4,39721127
1,6,2018,1,0,0,0,0,4,39086762
22,3,2012,1,0,0,0,0,0,37217682
16,5,2018,1,0,0,0,0,4,36395491
1,9,2016,1,0,0,1,0,1,33698126
14,4,2015,1,0,0,1,0,1,32939105
19,7,2015,1,1,0,0,0,0,30811934
7,10,2015,1,0,0,1,0,1,30741620
1,6,2016,1,0,0,0,0,0,29396116
26,12,2011,1,0,0,0,0,0,29020808
7,8,2018,1,0,0,0,0,4,28510459
18,3,2019,1,0,0,0,0,4,28364826
1,8,2017,1,0,0,0,0,2,27971100
29,2,2016,1,1,0,0,0,0,27393015
5,5,2013,1,0,0,0,0,1,26892897
1,1,2017,1,0,0,0,0,1,26372781
1,6,2011,1,0,0,0,0,0,26183992
31,5,2018,1,0,0,0,0,1,26151608
13,1,2020,1,0,0,0,0,2,25692862
19,5,2015,1,0,0,0,0,4,24853850
25,7,2019,1,0,0,0,0,1,24842001
14,10,2020,1,0,0,0,0,1,24500011
29,9,2016,0,1,0,0,0,1,24451312
12,1,2020,1,1,0,0,0,1,23927853
20,2,2019,1,0,0,0,0,4,23205290
13,12,2018,1,0,0,0,0,4,23165793
13,5,2022,1,0,0,0,0,1,23040238
20,2,2020,1,0,0,0,0,1,22802117
24,3,2021,1,0,0,0,0,1,22527655
10,10,2016,0,0,0,0,0,3,22526334
10,7,2018,1,0,0,0,0,4,22437749
1,5,2019,0,0,0,0,0,3,22424472
1,11,2015,1,0,0,0,0,6,22281337
21,5,2022,1,0,0,0,0,1,22229637
1,1,2012,0,0,0,0,0,3,21149008
21,3,2021,1,0,0,0,0,1,20949825
14,3,2019,1,0,0,0,0,4,20727771
5,12,2017,1,0,0,0,0,1,20580060
17,9,2020,1,0,0,0,0,4,20529819
25,2,2021,1,0,0,0,0,1,20339937
23,5,2021,1,0,0,0,0,1,20154583
13,4,2020,1,0,0,0,0,2,20012235
28,2,2018,1,0,0,0,0,4,19611022
1,6,2018,1,0,0,0,0,4,19531820
9,3,2022,0,0,0,0,0,1,19218203
15,2,2019,1,0,0,0,0,4,18241518
27,6,2017,1,0,0,0,0,4,17979961
1,7,2012,1,0,0,0,0,2,17551044
3,1,2019,1,0,0,0,0,4,17204697
1,12,2018,1,0,0,0,0,5,16717854
10,9,2014,0,0,0,0,0,0,16630988
17,5,2017,1,0,0,0,0,2,16472873
1,4,2019,1,0,0,0,0,4,15453048
23,8,2015,1,0,0,0,0,1,15074786
1,7,2018,1,0,0,0,0,4,15025407
13,9,2021,1,0,0,0,0,1,15003961
1,3,2015,1,0,0,0,0,2,14936670
5,7,2018,1,0,0,0,0,4,14867999
22,6,2020,1,0,0,0,0,4,14610585
1,1,2014,0,0,0,0,0,3,13873674
23,10,2017,1,0,0,0,0,4,13369666
2,6,2013,1,0,0,0,0,2,13258797
8,8,2016,1,0,0,0,0,6,12865609
27,6,2016,1,0,0,0,0,4,11657763
26,1,2021,0,0,0,0,0,1,11498146
8,2,2014,0,0,0,0,0,1,11010525
1,2,2018,1,0,0,0,0,4,10981207
1,1,2019,1,0,0,0,0,4,10604307
1,9,2017,0,0,0,0,0,3,10371766
5,11,2021,1,1,0,0,0,2,10001355
27,1,2020,1,0,0,0,0,1,9705172
5,11,2018,1,0,0,0,0,1,9363740
8,5,2014,1,0,0,0,0,1,9313136
1,1,2011,0,0,0,0,0,3,9121434
11,8,2020,1,0,0,0,0,2,9052457
10,2,2020,1,0,0,0,0,4,8815692
1,12,2011,0,0,0,0,0,3,8718404
22,3,2020,1,0,0,0,0,4,8661578
3,11,2013,1,0,0,0,0,5,8600635
1,3,2012,1,0,0,0,0,0,8243604
1,4,2020,1,0,0,0,0,1,8234193
23,12,2016,0,0,0,0,0,1,8176132
17,12,2012,1,0,0,0,0,0,8089103
13,1,2021,1,0,0,0,0,2,8032404
10,7,2011,0,0,0,0,0,3,7830195
5,9,2016,1,0,0,1,0,1,7687679
28,12,2018,1,0,0,0,0,5,7633234
28,12,2011,0,0,0,0,0,3,7485802
6,9,2016,0,0,0,0,0,3,7485802
25,8,2021,1,0,0,0,0,2,7476940
1,6,2021,1,0,0,0,0,5,7455386
19,11,2016,1,0,0,1,0,1,7445067
24,11,2019,1,0,0,0,0,4,7327477
16,9,2015,0,0,0,0,0,1,7196890
12,10,2020,1,0,0,0,0,2,7104998
1,1,2016,1,0,0,0,0,0,7089395
1,8,2012,0,0,0,0,0,4,7088010
1,1,2014,1,0,0,0,0,0,7040725
17,11,2016,1,0,0,0,0,2,6844490
26,7,2019,1,0,0,0,0,4,6840339
1,8,2021,1,0,0,0,0,2,6783158
28,8,2022,1,0,0,0,0,2,6706951
1,1,2022,1,0,0,0,0,1,6682453
27,9,2016,0,0,0,0,0,3,6496778
29,3,2017,1,0,0,0,0,4,6486626
1,1,2012,0,0,0,0,0,3,6414191
3,5,2019,1,0,0,0,0,4,6353564
1,11,2016,1,0,0,0,0,4,6137666
21,8,2019,1,0,0,0,0,2,6002694
4,11,2015,1,0,0,0,0,0,5968783
22,7,2013,1,0,0,0,0,2,5915013
4,9,2020,1,0,0,0,0,4,5890277
22,6,2020,1,0,0,0,0,4,5888405
22,6,2020,1,0,0,0,0,1,5814988
29,10,2018,1,0,0,0,0,1,5788169
1,12,2021,1,0,0,0,0,1,5470063
13,12,2022,1,0,0,0,0,1,5274214
8,4,2021,1,0,0,0,0,1,5223350
4,7,2018,1,0,0,0,0,4,5187305
16,2,2014,1,0,0,0,0,2,5176463
10,9,2016,1,0,0,0,0,5,5081689
25,8,2022,1,0,0,0,0,1,5067990
1,9,2013,1,0,0,0,0,2,5033997
21,12,2011,0,1,0,0,0,3,5024908
3,11,2021,1,0,0,0,0,1,5003937
8,8,2016,1,0,0,0,0,6,4946850
14,12,2015,1,0,0,0,0,0,4907802
1,6,2011,1,0,0,0,0,2,4848734
14,3,2021,1,0,0,0,0,1,4845378
13,11,2015,1,0,1,0,0,2,4833678
9,1,2014,1,0,0,0,0,0,4789599
22,6,2020,1,0,0,0,0,4,4775203
1,1,2014,1,0,0,0,0,1,4609615
1,1,2009,1,0,0,0,0,1,4483605
6,5,2020,1,0,0,0,0,4,4418182
27,1,2021,1,1,0,0,1,0,4324770
3,1,2021,1,0,0,0,0,2,4284538
14,5,2015,1,0,0,0,0,2,4261179
20,1,2019,1,0,0,0,0,4,4227907
31,12,2018,1,0,0,0,0,4,4216063
23,6,2020,1,0,0,0,0,1,4195918
17,12,2019,1,0,0,0,0,5,4101101
19,4,2016,1,0,0,0,0,2,4009640
27,7,2019,1,0,0,0,0,5,4007909
26,12,2018,1,0,0,0,0,4,3994436
15,3,2021,1,0,0,0,0,6,3966871
28,10,2020,1,0,0,0,0,5,3924454
7,3,2012,1,0,0,0,0,1,3883455
21,5,2015,1,1,0,0,0,0,3867997
8,7,2018,1,0,0,0,0,4,3830916
27,12,2015,1,0,0,0,0,2,3827238
1,7,2019,1,0,0,0,0,2,3805863
23,12,2021,1,0,0,0,0,1,3756794
19,12,2020,1,0,0,0,0,1,3675099
28,2,2019,1,0,0,0,0,4,3670561
17,5,2010,1,0,0,0,0,1,3619948
1,7,2018,1,0,0,0,0,4,3589795
6,1,2020,1,1,0,0,0,4,3512952
11,5,2015,1,0,0,0,0,0,3474763
4,9,2016,1,0,0,0,0,5,3472916
19,6,2020,1,0,0,0,0,4,3465259
4,11,2015,1,0,0,0,0,0,3439414
24,10,2015,1,0,0,0,0,4,3430083
30,8,2020,1,0,0,0,0,1,3395101
19,6,2020,1,0,0,0,0,2,3385862
31,7,2016,1,0,0,0,0,2,3264710
12,10,2018,1,0,0,0,0,4,3225080
22,10,2015,1,0,0,0,0,6,3122898
12,10,2021,1,0,0,0,0,0,3117548
25,7,2019,1,0,0,0,0,1,3081321
10,3,2019,1,0,0,1,0,0,3073409
22,3,2021,1,0,0,0,0,2,2987329
7,11,2013,1,0,0,0,0,2,2983472
28,6,2020,1,0,0,0,0,4,2964182
14,7,2020,1,0,0,0,0,4,2856769
14,8,2020,1,0,0,0,0,1,2811929
16,10,2018,1,0,0,0,0,1,2789609
14,8,2019,1,0,0,0,0,1,2743539
1,6,2016,1,0,0,0,0,0,2682650
20,12,2020,1,0,0,0,0,1,2660295
1,1,2011,0,0,0,0,0,3,2639894
10,4,2014,1,0,0,0,0,1,2628148
26,3,2020,1,0,0,0,0,4,2520441
1,7,2016,1,0,0,0,0,2,2491103
4,5,2017,1,0,0,0,0,4,2481121
2,7,2020,1,0,0,0,0,4,2479044
10,10,2018,1,0,0,0,0,1,2467304
22,3,2017,1,0,0,0,0,1,2461696
1,7,2015,1,0,0,0,0,6,2460787
18,9,2018,1,0,0,1,0,1,2457420
4,9,2016,1,0,0,0,0,2,2424784
11,8,2022,1,0,0,0,0,2,2376330
1,12,2016,1,0,0,0,0,0,2357872
27,3,2020,1,0,0,0,0,2,2330735
1,10,2015,1,0,0,0,0,0,2330382
1,1,2018,1,0,0,0,0,1,2325283
14,3,2017,1,0,0,0,0,1,2257930
7,8,2016,1,0,0,0,0,1,2247314
15,5,2017,1,0,0,0,0,1,2231256
10,10,2019,1,0,0,0,0,4,2192857
15,7,2016,1,0,0,0,0,0,2191565
30,1,2018,1,0,0,0,0,4,2156921
12,7,2007,1,0,0,0,0,2,2136520
18,8,2014,1,0,0,0,0,1,2107000
1,3,2015,1,0,0,0,0,2,2064274
9,7,2016,1,1,0,0,0,4,2021984
13,2,2016,0,1,0,0,0,1,2013164
12,4,2016,1,0,0,0,0,1,1957600
22,2,2021,1,0,0,0,0,1,1921722
7,10,2020,1,0,0,0,0,4,1906808
1,3,2016,1,0,0,0,0,6,1871373
16,7,2019,1,0,0,0,0,4,1858124
20,1,2021,1,0,0,0,0,1,1834006
1,2,2016,1,0,0,0,0,6,1771845
1,9,2013,1,0,0,0,0,2,1749806
1,12,2015,1,0,0,0,0,6,1697282
21,1,2018,1,0,0,0,0,5,1688176
9,3,2017,1,0,0,0,0,0,1619544
14,7,2016,1,0,0,0,0,4,1604957
8,10,2021,0,0,0,0,0,1,1583193
2,4,2013,1,0,0,0,0,2,1580933
27,3,2022,1,0,0,0,0,1,1580249
1,12,2022,1,0,0,0,0,1,1557153
25,3,2020,1,0,0,0,0,4,1541284
29,2,2016,1,0,0,0,0,0,1535473
18,5,2016,1,0,0,0,0,2,1531235
24,2,2019,1,0,0,0,0,4,1506242
4,1,2020,1,0,0,0,0,2,1488089
29,2,2016,1,0,0,0,0,0,1476783
6,4,2021,1,0,0,0,0,2,1464271
12,1,2021,1,0,0,0,0,1,1460130
22,6,2020,1,0,0,0,0,4,1444629
6,12,2015,1,0,0,0,0,5,1436486
21,12,2020,1,0,0,0,0,4,1436435
27,2,2020,1,0,0,0,0,4,1431378
26,1,2020,1,1,0,0,0,1,1422717
1,6,2020,1,0,0,0,0,4,1414677
14,3,2015,1,0,0,0,0,4,1410899
4,6,2019,1,0,0,0,0,0,1408078
14,3,2016,1,1,0,0,0,2,1398630
10,8,2014,1,0,0,0,0,2,1383759
1,7,2016,1,0,0,0,0,0,1372550
1,6,2015,0,1,0,0,0,0,1370175
25,6,2020,1,0,0,0,0,4,1369180
21,2,2012,1,1,0,0,0,0,1327567
29,1,2021,1,0,0,0,0,2,1324364
1,6,2016,1,0,0,0,0,6,1311610
6,1,2021,1,0,0,0,0,4,1306723
29,6,2020,1,0,0,0,0,4,1304447
2,10,2020,1,0,0,0,0,4,1301460
27,3,2020,1,0,0,0,0,1,1298651
25,9,2015,1,0,0,0,0,6,1296959
1,1,2009,1,0,0,0,0,2,1291178
1,9,2014,1,0,0,0,0,1,1287073
19,8,2020,1,0,0,0,0,1,1284637
9,7,2018,1,0,0,0,0,1,1279263
3,8,2019,1,0,0,0,0,4,1277761
27,1,2020,1,0,0,0,0,2,1274340
